content_type,video_numbers,total_likes,avg_likes_per_video,performance_score
"Character / Micro Comedy, Comedy / Funny",54,73460670.0,1360382.7777777775,5451507.050007618
"Character / Micro Comedy, Trends / Challenges / Social Media",17,25525120.0,1501477.6470588238,4339828.58617121
Trends / Challenges / Social Media,11,15095835.0,1372348.636363636,3410158.2523274934
"Family / Relatable, Character / Micro Comedy",27,23760871.0,880032.25925925921,2932447.4634033777
Character / Micro Comedy,99,58331037.0,589202.39393939392,2713377.2980825077
"Family / Relatable, Character / Micro Comedy, Comedy / Funny",10,9121688.0,912168.79999999993,2187285.2535141623
"Family / Relatable, Character / Micro Comedy, Romance / Relationships",3,4134377.0,1378125.6666666667,1910487.84061459
Other,14,9833352.0,702382.28571428568,1902086.4900792013
"Character / Micro Comedy, Daily Life / Emotions",6,5414925.0,902487.5,1756159.5856455569
"Character / Micro Comedy, Romance / Relationships",3,3761283.0,1253761.0,1738081.8044920352
"POV / Kids & Teens, Character / Micro Comedy, Comedy / Funny",4,3393245.0,848311.25,1365304.2872943622
Family / Relatable,3,2649924.0,883308.0,1224524.8995320883
"Character / Micro Comedy, Daily Life / Emotions, Comedy / Funny",5,2241028.0,448205.6,803076.62796104187
"POV / Kids & Teens, Character / Micro Comedy",3,1194884.0,398294.66666666663,552153.65046412637
"Character / Micro Comedy, Food / Cooking",3,844501.0,281500.33333333331,390242.32475336955
"Character / Micro Comedy, Brand / Ads / Events",4,952286.0,238071.5,383161.2979700549
"Daily Life / Emotions, Brand / Ads / Events",3,302763.0,100921.0,139906.21321858047